"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"MMC","Marsh & McLennan Inc","Common stocks","Large cap","Financials","$80,100,575,124","1.39%","USA","Analyze"
"VRTX","Vertex Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$80,087,733,024","0.00%","USA","Analyze"
"EOG","EOG Resources Inc","Common stocks","Large cap","Energy","$80,006,798,143","2.14%","USA","Analyze"
"AMAT","Applied Material Inc","Common stocks","Large cap","Information Technology","$75,956,714,895","1.40%","USA","Analyze"
"TGT","Target Corp","Common stocks","Large cap","Consumer Discretionary","$75,598,136,978","2.27%","USA","Analyze"
"PGR","Progressive Corp","Common stocks","Large cap","Financials","$75,103,112,322","1.48%","USA","Analyze"
"BKNG","Booking Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$74,230,036,511","0.00%","USA","Analyze"
"SLB","Schlumberger Nv","Common stocks","Large cap","Energy","$73,778,216,113","1.15%","USA","Analyze"
"ADI","Analog Devices Inc","Common stocks","Large cap","Information Technology","$73,355,389,151","2.07%","USA","Analyze"
"DUK","Duke Energy Corp","Common stocks","Large cap","Utilities","$71,739,326,913","4.19%","USA","Analyze"
"SO","Southern Co","Common stocks","Large cap","Utilities","$71,286,296,777","4.04%","USA","Analyze"
"HUM","Humana Inc","Common stocks","Large cap","Health Care","$70,627,087,780","0.55%","USA","Analyze"
"ZTS","Zoetis Inc","Common stocks","Large cap","Health Care","$70,585,933,283","0.86%","USA","Analyze"
"MMM","3M","Common stocks","Large cap","Industrials","$69,529,531,278","4.66%","USA","Analyze"
"GD","General Dynamics Corp","Common stocks","Large cap","Industrials","$68,582,330,458","1.97%","USA","Analyze"
"OXY","Occidental Petroleum Corp","Common stocks","Large cap","Energy","$68,040,065,293","0.55%","USA","Analyze"
"BDX","Becton Dickinson","Common stocks","Large cap","Health Care","$67,297,490,579","1.45%","USA","Analyze"
"PNC","PNC Financial Services Group, Inc.","Common stocks","Large cap","Financials","$66,370,367,567","3.51%","USA","Analyze"
"ITW","Illinois Tool Inc","Common stocks","Large cap","Industrials","$65,593,507,508","2.30%","USA","Analyze"
"FISV","Fiserv Inc","Common stocks","Large cap","Information Technology","$65,242,784,528","0.00%","USA","Analyze"
"WM","Waste Management Inc","Common stocks","Large cap","Industrials","$65,007,257,694","1.59%","USA","Analyze"
"BX","Blackstone Group Inc. Class A","Common stocks","Large cap","Financials","$63,950,512,491","5.32%","USA","Analyze"
"USB","US Bancorp","Common stocks","Large cap","Financials","$63,071,531,989","4.31%","USA","Analyze"
"HCA","HCA Healthcare, Inc.","Common stocks","Large cap","Health Care","$62,419,283,256","0.99%","USA","Analyze"
"CME","CME Group Inc Class A","Common stocks","Large cap","Financials","$62,289,790,370","2.23%","USA","Analyze"
"PXD","Pioneer Natural Resource","Common stocks","Large cap","Energy","$62,040,703,344","7.75%","USA","Analyze"
"CL","Colgate-Palmolive","Common stocks","Large cap","Consumer Staples","$61,672,217,266","2.50%","USA","Analyze"
"BSX","Boston Scientific Corp","Common stocks","Large cap","Health Care","$61,628,814,389","0.00%","USA","Analyze"
"CSX","CSX Corp","Common stocks","Large cap","Industrials","$61,095,997,665","1.35%","USA","Analyze"
"MRNA","Moderna, Inc.","Common stocks","Large cap","Health Care","$59,795,188,191","0.00%","USA","Analyze"
"ETN","Eaton Corporation, PLC","Common stocks","Large cap","Industrials","$59,772,881,000","2.11%","USA","Analyze"
"MET","Metlife Inc","Common stocks","Large cap","Financials","$59,534,805,842","2.65%","USA","Analyze"
"TFC","Truist Financial Corporation","Common stocks","Large cap","Financials","$59,409,161,595","4.31%","USA","Analyze"
"MU","Micron Technology Inc","Common stocks","Large cap","Information Technology","$58,815,820,394","0.79%","USA","Analyze"
"SHW","Sherwin Williams","Common stocks","Large cap","Materials","$58,315,042,902","1.04%","USA","Analyze"
"D","Dominion Energy Inc","Common stocks","Large cap","Utilities","$58,250,220,706","3.72%","USA","Analyze"
"AON","Aon Plc","Common stocks","Large cap","Financials","$58,227,032,955","0.78%","USA","Analyze"
"CCI","Crown Castle International Corp.","REITs","Large cap","Real Estate","$57,706,812,321","4.36%","USA","Analyze"
"DG","Dollar General Corp","Common stocks","Large cap","Consumer Discretionary","$57,532,069,481","0.81%","USA","Analyze"
"CHTR","Charter Communications Inc Class A","Common stocks","Large cap","Communication Services","$57,228,243,941","0.00%","USA","Analyze"
"ATVI","Activision Blizzard Inc","Common stocks","Large cap","Communication Services","$56,951,919,898","0.65%","USA","Analyze"
"MPC","Marathon Petroleum Corp","Common stocks","Large cap","Energy","$56,653,665,129","2.02%","USA","Analyze"
"MCK","Mckesson Corp","Common stocks","Large cap","Health Care","$55,964,327,263","0.50%","USA","Analyze"
"GM","General Motors","Common stocks","Large cap","Consumer Discretionary","$55,762,348,890","0.23%","USA","Analyze"
"APD","Air Products And Chemicals Inc","Common stocks","Large cap","Materials","$55,538,465,093","2.51%","USA","Analyze"
"LRCX","Lam Research Corp","Common stocks","Large cap","Information Technology","$55,203,627,626","1.53%","USA","Analyze"
"KDP","Keurig Dr Pepper Inc.","Common stocks","Large cap","Consumer Staples","$55,007,200,764","1.95%","USA","Analyze"
"PSA","Public Storage","REITs","Large cap","Real Estate","$54,370,088,546","2.48%","USA","Analyze"
"ICE","Intercontinental Exchange Inc","Common stocks","Large cap","Financials","$53,371,852,563","1.53%","USA","Analyze"
"ADM","Archer-Daniels-Midland Company","Common stocks","Large cap","Consumer Staples","$53,274,433,334","1.61%","USA","Analyze"
"ORLY","Oreilly Automotive Inc","Common stocks","Large cap","Consumer Discretionary","$53,008,175,351","0.00%","USA","Analyze"
"F","Ford Motor Company","Common stocks","Large cap","Consumer Discretionary","$52,806,713,848","3.33%","USA","Analyze"
"NSC","Norfolk Southern Corp","Common stocks","Large cap","Industrials","$52,801,446,559","2.09%","USA","Analyze"
"MAR","Marriott International Inc","Common stocks","Large cap","Consumer Discretionary","$51,963,917,929","0.37%","USA","Analyze"
"EQIX","Equinix, Inc.","REITs","Large cap","Real Estate","$51,588,627,791","2.13%","USA","Analyze"
"SNOW","Snowflake Inc. Class A","Common stocks","Large cap","Information Technology","$51,296,000,000","0.00%","USA","Analyze"
"EMR","Emerson Electric","Common stocks","Large cap","Industrials","$51,206,580,000","2.36%","USA","Analyze"
"DVN","Devon Energy Corp","Common stocks","Large cap","Energy","$50,648,780,000","4.19%","USA","Analyze"
"FIS","Fidelity National Information Services","Common stocks","Large cap","Information Technology","$50,456,140,362","2.15%","USA","Analyze"
"PSX","Phillips 66","Common stocks","Large cap","Energy","$50,168,818,906","3.57%","USA","Analyze"
"UBER","Uber Technologies, Inc.","Common stocks","Large cap","Industrials","$49,444,273,563","0.00%","USA","Analyze"
"MNST","Monster Beverage Corp","Common stocks","Large cap","Consumer Staples","$49,379,708,591","0.00%","USA","Analyze"
"MCO","Moodys Corp","Common stocks","Large cap","Financials","$48,524,184,000","1.02%","USA","Analyze"
"GIS","General Mills Inc","Common stocks","Large cap","Consumer Staples","$48,420,638,327","2.55%","USA","Analyze"
"VLO","Valero Energy Corp","Common stocks","Large cap","Energy","$48,402,447,553","3.08%","USA","Analyze"
"CNC","Centene Corp","Common stocks","Large cap","Health Care","$48,205,687,665","0.00%","USA","Analyze"
"AZO","Autozone Inc","Common stocks","Large cap","Consumer Discretionary","$48,077,674,287","0.00%","USA","Analyze"
"VMW","VMWare Inc Class A","Common stocks","Large cap","Information Technology","$47,602,986,821","0.00%","USA","Analyze"
"SRE","Sempra Energy","Common stocks","Large cap","Utilities","$47,442,001,361","2.97%","USA","Analyze"
"CTVA","Corteva, Inc.","Common stocks","Large cap","Materials","$47,286,558,000","0.87%","USA","Analyze"
"LHX","L3Harris Technologies, Inc.","Common stocks","Large cap","Industrials","$47,162,812,606","1.76%","USA","Analyze"
"KHC","Kraft Heinz","Common stocks","Large cap","Consumer Staples","$47,123,063,409","4.10%","USA","Analyze"
"DXCM","Dexcom Inc","Common stocks","Large cap","Health Care","$46,652,256,338","0.00%","USA","Analyze"
"STZ","Constellation Brands Class A","Common stocks","Large cap","Consumer Staples","$46,446,937,661","1.26%","USA","Analyze"
"EL","Estee Lauder Inc Class A","Common stocks","Large cap","Consumer Staples","$46,422,711,071","1.19%","USA","Analyze"
"ADSK","Autodesk Inc","Common stocks","Large cap","Information Technology","$46,258,593,986","0.00%","USA","Analyze"
"FCX","Freeport-McMoRan, Inc.","Common stocks","Large cap","Materials","$45,293,576,251","1.18%","USA","Analyze"
"AEP","American Electric Power Inc","Common stocks","Large cap","Utilities","$45,178,894,570","3.51%","USA","Analyze"
"APH","Amphenol Corp","Common stocks","Large cap","Information Technology","$45,126,018,968","1.05%","USA","Analyze"
"FTNT","Fortinet Inc","Common stocks","Large cap","Information Technology","$45,071,846,985","0.00%","USA","Analyze"
"KLAC","KLA-Tencor Corporation","Common stocks","Large cap","Information Technology","$44,846,764,579","1.40%","USA","Analyze"
"EW","Edwards Lifesciences Corp","Common stocks","Large cap","Health Care","$44,780,607,943","0.00%","USA","Analyze"
"ECL","Ecolab Inc","Common stocks","Large cap","Materials","$44,763,254,901","1.29%","USA","Analyze"
"SNPS","Synopsys Inc","Common stocks","Large cap","Information Technology","$44,734,213,687","0.00%","USA","Analyze"
"LNG","Cheniere Energy Inc","Common stocks","Large cap","Energy","$44,064,171,752","0.75%","USA","Analyze"
"ROP","Roper Technologies Inc","Common stocks","Large cap","Information Technology","$43,945,236,995","0.60%","USA","Analyze"
"SYY","Sysco Corp","Common stocks","Large cap","Consumer Staples","$43,864,964,776","2.20%","USA","Analyze"
"HES","Hess Corp","Common stocks","Large cap","Energy","$43,680,470,938","0.97%","USA","Analyze"
"CTAS","Cintas Corp","Common stocks","Large cap","Industrials","$43,415,702,849","0.93%","USA","Analyze"
"AIG","American International Group Inc","Common stocks","Large cap","Financials","$43,343,720,151","2.23%","USA","Analyze"
"TRV","Travelers Companies Inc","Common stocks","Large cap","Financials","$43,227,744,462","1.95%","USA","Analyze"
"ABNB","Airbnb, Inc.","Common stocks","Large cap","Consumer Discretionary","$42,674,943,435","0.00%","USA","Analyze"
"PAYX","Paychex Inc","Common stocks","Large cap","Information Technology","$42,638,995,341","1.88%","USA","Analyze"
"KMB","Kimberly Clark Corp","Common stocks","Large cap","Consumer Staples","$42,004,266,019","3.66%","USA","Analyze"
"RSG","Republic Services Inc","Common stocks","Large cap","Industrials","$41,908,044,132","1.41%","USA","Analyze"
"KKR","KKR & Co Inc.","Common stocks","Large cap","Financials","$41,813,700,382","0.32%","USA","Analyze"
"MSI","Motorola Solutions Inc","Common stocks","Large cap","Information Technology","$41,775,731,623","1.26%","USA","Analyze"
"ENPH","Enphase Energy Inc","Common stocks","Large cap","Information Technology","$41,728,536,604","0.00%","USA","Analyze"
"FDX","FedEx Corporation","Common stocks","Large cap","Industrials","$41,708,028,262","2.36%","USA","Analyze"
"CMG","Chipotle Mexican Grill Inc","Common stocks","Large cap","Consumer Discretionary","$41,535,373,743","0.00%","USA","Analyze"
"CDNS","Cadence Design Systems Inc","Common stocks","Large cap","Information technology","$41,528,699,240","0.00%","USA","Analyze"
"AFL","Aflac Inc","Common stocks","Large cap","Financials","$41,144,081,883","2.33%","USA","Analyze"
"TWTR","Twitter Inc","Common stocks","Large cap","Communication Services","$41,093,718,362","0.00%","USA","Analyze"
"A","Agilent Technologies Inc","Common stocks","Large cap","Health Care","$40,957,212,860","0.61%","USA","Analyze"
"BIIB","Biogen Inc","Common stocks","Large cap","Health Care","$40,815,757,950","0.00%","USA","Analyze"
"KMI","Kinder Morgan Inc","Common stocks","Large cap","Energy","$40,729,086,327","5.95%","USA","Analyze"
"COF","Capital One Financial Corp","Common stocks","Large cap","Financials","$40,692,354,780","2.25%","USA","Analyze"
"LULU","Lululemon Athletica Inc","Common stocks","Large cap","Consumer Discretionary","$40,242,694,942","0.00%","USA","Analyze"
"WMB","Williams Inc","Common stocks","Large cap","Energy","$39,882,490,893","5.05%","USA","Analyze"
"JCI","Johnson Controls International Plc","Common stocks","Large cap","Industrials","$39,840,787,578","2.38%","USA","Analyze"
"AJG","Arthur J Gallagher","Common stocks","Large cap","Financials","$39,349,658,880","1.07%","USA","Analyze"
"PRU","Prudential Financial Inc","Common stocks","Large cap","Financials","$39,130,680,000","4.44%","USA","Analyze"
"IQV","IQVIA Holdings, Inc.","Common stocks","Large cap","Health Care","$38,944,110,622","0.00%","USA","Analyze"
"EXC","Exelon Corp","Common stocks","Large cap","Utilities","$37,836,431,305","3.30%","USA","Analyze"
"MSCI","MSCI Inc","Common stocks","Large cap","Financials","$37,489,185,711","0.93%","USA","Analyze"
"O","Realty Income Corporation","REITs","Large cap","Real Estate","$37,461,526,515","4.67%","USA","Analyze"
"PH","Parker-Hannifin Corp","Common stocks","Large cap","Industrials","$37,333,283,799","1.61%","USA","Analyze"
"TT","Trane Technologies plc","Common stocks","Large cap","Industrials","$36,989,042,656","1.62%","USA","Analyze"
"PCG","Pacific Gas & Electric Co.","Common stocks","Large cap","Utilities","$36,809,074,068","0.00%","USA","Analyze"
"ANET","Arista Networks Inc","Common stocks","Large cap","Information Technology","$36,775,336,154","0.00%","USA","Analyze"
"HLT","Hilton Worldwide Holdings Inc","Common stocks","Large cap","Consumer Discretionary","$36,581,880,859","0.22%","USA","Analyze"
"SCCO","Southern Copper Corp","Common stocks","Large cap","Materials","$36,312,153,269","8.28%","Peru","Analyze"
"ILMN","Illumina Inc","Common stocks","Large cap","Health Care","$35,947,622,000","0.00%","USA","Analyze"
"SPG","Simon Property Group, Inc","REITs","Large cap","Real Estate","$35,674,790,119","6.05%","USA","Analyze"
"XEL","Xcel Energy Inc","Common stocks","Large cap","Utilities","$35,631,349,575","2.92%","USA","Analyze"
"DLTR","Dollar Tree Inc","Common stocks","Large cap","Consumer Discretionary","$35,494,008,953","0.00%","USA","Analyze"
"HSY","Hershey Foods","Common stocks","Large cap","Consumer Staples","$35,068,066,808","1.56%","USA","Analyze"
"EA","Electronic Arts Inc","Common stocks","Large cap","Communication Services","$35,022,589,137","0.57%","USA","Analyze"
"CRWD","CrowdStrike Holdings, Inc. - Class A","Common stocks","Large cap","Information Technology","$34,631,162,940","0.00%","USA","Analyze"
"CMI","Cummins Inc","Common stocks","Large cap","Industrials","$34,474,032,897","2.40%","USA","Analyze"
"NUE","Nucor Corp","Common stocks","Large cap","Materials","$34,393,369,662","1.51%","USA","Analyze"
"ALL","Allstate Corp","Common stocks","Large cap","Financials","$34,124,817,985","2.64%","USA","Analyze"
"MCHP","Microchip Technology Inc","Common stocks","Large cap","Information Technology","$34,110,374,014","1.71%","USA","Analyze"
"BK","Bank Of New York Mellon Corp","Common stocks","Large cap","Financials","$34,029,226,721","3.33%","USA","Analyze"
"KR","Kroger","Common stocks","Large cap","Consumer Staples","$33,850,480,826","1.87%","USA","Analyze"
"MRVL","Marvell Technology Group Ltd","Common stocks","Large cap","Information Technology","$33,831,168,000","0.60%","USA","Analyze"
"PCAR","Paccar Inc","Common stocks","Large cap","Industrials","$33,674,334,287","1.39%","USA","Analyze"
"YUM","Yum Brands Inc","Common stocks","Large cap","Consumer Discretionary","$33,647,147,551","1.86%","USA","Analyze"
"CSGP","Costar Group Inc","Common stocks","Large cap","Industrials","$33,641,401,763","0.00%","USA","Analyze"
"NEM","Newmont Corporation","Common stocks","Large cap","Materials","$33,588,558,125","5.12%","USA","Analyze"
"AMP","Ameriprise Finance Inc","Common stocks","Large cap","Financials","$33,436,126,161","1.53%","USA","Analyze"
"CARR","Carrier Global Corporation","Common stocks","Large cap","Industrials","$33,249,757,836","1.50%","USA","Analyze"
"ROST","Ross Stores Inc","Common stocks","Large cap","Consumer Discretionary","$33,210,439,619","1.26%","USA","Analyze"
"HAL","Halliburton","Common stocks","Large cap","Energy","$33,071,063,618","1.11%","USA","Analyze"
"DOW","Dow Inc.","Common stocks","Large cap","Materials","$32,893,708,233","5.88%","USA","Analyze"
"ALB","Albemarle Corp","Common stocks","Large cap","Materials","$32,780,826,901","0.56%","USA","Analyze"
"RMD","Resmed Inc","Common stocks","Large cap","Health Care","$32,766,927,669","0.76%","USA","Analyze"
"BF.B","Brown Forman Inc Class B","Common stocks","Large cap","Consumer Staples","$32,710,577,675","1.10%","USA","Analyze"
"BF.A","Brown Forman Inc Class A","Common stocks","Large cap","Consumer Staples","$32,710,577,675","1.09%","USA","Analyze"
"ABC","AmerisourceBergen Corp","Common stocks","Large cap","Health Care","$32,585,117,224","1.16%","USA","Analyze"
"CTSH","Cognizant Technology Solutions","Common stocks","Large cap","Information Technology","$32,232,111,706","1.68%","USA","Analyze"
"RIVN","Rivian Automotive, Inc.  Class A","Common stocks","Large cap","Consumer Discretionary","$31,765,555,523","0.00%","USA","Analyze"
"GPN","Global Payments Inc","Common stocks","Large cap","Information Technology","$31,668,631,583","0.87%","USA","Analyze"
"WBA","Walgreen Boots Alliance Inc","Common stocks","Large cap","Consumer Staples","$31,565,677,822","5.15%","USA","Analyze"
"WBD","Warner Bros. Discovery, Inc. - Series A","Common stocks","Large cap","Communication Services","$31,558,707,193","0.00%","USA","Analyze"
"WDAY","Workday Inc","Common stocks","Large cap","Information Technology","$31,319,820,000","0.00%","USA","Analyze"
"TDG","Transdigm Group Inc","Common stocks","Large cap","Industrials","$31,226,145,539","0.00%","USA","Analyze"
"ED","Consolidated Edison Inc","Common stocks","Large cap","Utilities","$31,189,040,285","3.53%","USA","Analyze"
